IngredientId,recipeId,quantity,unit,createdAt
1,1,2,-,1/20/2020
2,1,4,-,1/21/2020
3,1,4,slices,1/22/2020
4,1,1,tsp,1/23/2020
5,1,4,tbsp,1/24/2020
6,1,4,-,1/25/2020
7,1,2,tbsp,1/26/2020
8,1,1,tbsp,1/27/2020
9,2,8,oz,1/28/2020
10,2,2,cups,1/29/2020
11,2,0.5,cups,7/17/2020
12,2,3,cups,7/18/2020
13,2,0.25,cups,7/19/2020
14,2,2.5,tbsp,7/20/2020
15,2,2,tbsp,7/21/2020
16,2,0.5,cups,7/22/2020
17,2,1,tsp,7/23/2020
18,3,4,-,7/24/2020
19,3,1,tbsp,7/25/2020
20,3,1,pinch,7/26/2020
21,3,1,pinch,7/27/2020
22,3,1,tbsp,7/28/2020
